date,composite_return__london_1600,composite_return__new_york_1600,composite_return__utc_0000,coinbase_return__london_1600,coinbase_return__new_york_1600,coinbase_return__utc_0000,bitstamp_return__london_1600,bitstamp_return__new_york_1600,bitstamp_return__utc_0000,venue_return_difference_bps__london_1600,venue_return_difference_bps__new_york_1600,venue_return_difference_bps__utc_0000,interval_hours__london_1600,interval_hours__new_york_1600,interval_hours__utc_0000,utc_vs_london_bps,utc_vs_new_york_bps,london_vs_new_york_bps,cutoff_return_dispersion_bps,subperiod,all_intervals_24h
2019-06-27,-0.0659792473,-0.2181468569,0.0996080240,-0.0648512010,-0.2180636413,0.0996901033,-0.0671059474,-0.2182301437,0.0995259131,22.5474633783,1.6650244324,1.6419020434,24.0000000000,24.0000000000,24.0000000000,1655.8727132372,3177.5488087718,1521.6760955345,3177.5488087718,2017-2020,True
2020-03-13,-0.1438124799,-0.0966841033,-0.3889622507,-0.1448898279,-0.0973293316,-0.3881242875,-0.1427335259,-0.0960383895,-0.3898005815,21.5630203075,12.9094213966,16.7629405504,24.0000000000,24.0000000000,24.0000000000,2451.4977085688,2922.7814737099,471.2837651411,2922.7814737099,2017-2020,True
2018-01-18,0.2654330034,0.0835854700,-0.0246114909,0.2680203249,0.0825168075,-0.0319792291,0.2628666969,0.0846559245,-0.0171249058,51.5362797676,21.3911697982,148.5432325039,24.0000000000,24.0000000000,24.0000000000,2900.4449434570,1081.9696090228,1818.4753344342,2900.4449434570,2017-2020,True
2019-06-28,-0.0168896443,0.1383620576,-0.1367592361,-0.0166160812,0.1378924750,-0.1367749531,-0.0171635414,0.1388321424,-0.1367435107,5.4746020722,9.3966740334,0.3144240283,24.0000000000,24.0000000000,24.0000000000,1198.6959180584,2751.2129373435,1552.5170192851,2751.2129373435,2017-2020,True
2021-05-24,0.1108993655,0.1976810546,-0.0735143151,0.1108416776,0.1977824400,-0.0725290800,0.1109570745,0.1975796779,-0.0744989272,1.1539690963,2.0276200356,19.6984724791,24.0000000000,24.0000000000,24.0000000000,1844.1368059188,2711.9536965212,867.8168906024,2711.9536965212,2021-2023,True
2017-12-08,-0.0442960422,-0.0431197117,0.2264780703,-0.0618915570,-0.0489696544,0.2342093683,-0.0252946798,-0.0369396610,0.2184820347,365.9687718967,120.2999341449,157.2733362693,24.0000000000,24.0000000000,24.0000000000,2707.7411240627,2695.9778195787,11.7633044839,2707.7411240627,2017-2020,True
2022-11-10,0.0254573574,0.1132105936,-0.1436995708,0.0247846926,0.1131892059,-0.1433021118,0.0261296545,0.1132319438,-0.1440970350,13.4496189419,0.4273798615,7.9492320905,24.0000000000,24.0000000000,24.0000000000,1691.5692816369,2569.1016437617,877.5323621248,2569.1016437617,2021-2023,True
2017-09-15,0.0225103384,0.0953234011,-0.1609279518,0.0311383459,0.0944820058,-0.1569052634,0.0138863721,0.0961655255,-0.1649402122,172.5197378875,16.8351968942,80.3494886891,24.0000000000,24.0000000000,24.0000000000,1834.3829019825,2562.5135290199,728.1306270374,2562.5135290199,2017-2020,True
2021-05-20,0.0994933231,0.0202324876,-0.1425641133,0.0959242858,0.0200017799,-0.1429259762,0.1030857459,0.0204633889,-0.1422024243,71.6146010402,4.6160897588,7.2355184470,24.0000000000,24.0000000000,24.0000000000,2420.5743645250,1627.9660094979,792.6083550271,2420.5743645250,2021-2023,True
2017-12-23,0.1405623651,0.0691050933,-0.1000819228,0.1658429818,0.0676986404,-0.0982454248,0.1153575712,0.0705464141,-0.1019371141,504.8541062244,28.4777368972,36.9168936434,24.0000000000,24.0000000000,24.0000000000,2406.4428782750,1691.8701606060,714.5727176690,2406.4428782750,2017-2020,True
