subperiod,volatility_quintile,observations,rv24_median_pct,rv24_p10_pct,rv24_p90_pct,dispersion_mean_bps,dispersion_median_bps,dispersion_p90_bps,dispersion_p99_bps,share_ge_10bps,share_ge_25bps,share_ge_50bps,share_ge_100bps
2017-2020,1,5907,1.1816578474,0.6762351769,1.4919303874,4.0217206143,3.1985846814,8.4159904448,16.6984716348,0.0597596072,0.0013543254,0.0001692907,0.0000000000
2017-2020,2,5907,1.9569102336,1.6329294415,2.2593745226,5.6830193217,3.8004165596,10.4590295567,46.5451148941,0.1117318436,0.0226849501,0.0084645336,0.0005078720
2017-2020,3,5907,2.7794814066,2.4373274606,3.1550478990,7.3598820037,4.2452221499,13.2038752875,68.7867119033,0.1562552903,0.0423226680,0.0157440325,0.0057558829
2017-2020,4,5907,3.9955157050,3.3988904724,4.7748131879,14.1192751031,5.5286831984,25.7976085812,200.6055562493,0.2905027933,0.1034366006,0.0475706789,0.0279329609
2017-2020,5,5907,6.7173425050,5.2857166247,11.2919358679,37.2908845044,8.7606000800,78.2050771068,475.9510129049,0.4565769426,0.2431014051,0.1405112578,0.0859996614
2021-2023,1,5256,1.0622777239,0.5638256937,1.4449755510,1.4279425995,1.0772618224,3.0100726228,6.6255818246,0.0024733638,0.0000000000,0.0000000000,0.0000000000
2021-2023,2,5255,1.8963510824,1.6041486498,2.2082911031,1.9127263853,1.4477591835,4.0264105124,8.2755434384,0.0049476689,0.0001902950,0.0000000000,0.0000000000
2021-2023,3,5255,2.6068008246,2.3499917970,2.8944308297,2.4338003963,1.8644667794,5.0849925642,9.6711412741,0.0087535680,0.0009514748,0.0005708849,0.0003805899
2021-2023,4,5255,3.3845933298,3.0530340572,3.8709951234,2.6304744181,2.0527473048,5.3574561303,11.1014159248,0.0150333016,0.0007611798,0.0003805899,0.0000000000
2021-2023,5,5256,5.2081136492,4.2018825639,8.3455410017,3.5887822253,2.4409073093,7.3503089605,16.3072561199,0.0485159817,0.0049467275,0.0015220700,0.0005707763
2024-2026,1,4573,1.0195434598,0.6088057345,1.2654739984,0.9938559840,0.7370567268,2.1574243603,4.4991430799,0.0002186748,0.0000000000,0.0000000000,0.0000000000
2024-2026,2,4572,1.5583119249,1.3699347046,1.7531264235,1.1255372298,0.8079931428,2.4376401353,5.2259920526,0.0015310586,0.0000000000,0.0000000000,0.0000000000
2024-2026,3,4572,2.0368407466,1.8554935367,2.2231192939,1.2469617565,0.8814491542,2.6701769218,6.4573303456,0.0021872266,0.0002187227,0.0000000000,0.0000000000
2024-2026,4,4572,2.5446344499,2.3167748598,2.8532851562,1.3485103429,0.9279809166,2.8223333662,7.2075158290,0.0032808399,0.0002187227,0.0002187227,0.0000000000
2024-2026,5,4573,3.6501648607,3.0548487875,5.4461561314,1.5885856994,1.0910407371,3.4657415609,8.3672130071,0.0063415701,0.0002186748,0.0000000000,0.0000000000
